date,league,home_team,away_team,predicted,actual,correct,home_prob,draw_prob,away_prob,home_odds,draw_odds,away_odds
2026-01-11,Serie A,Fiorentina,AC Milan,Away Win,Draw,False,0.308,0.265,0.42700000000000005,3.2467532467532467,3.773584905660377,2.34192037470726
2026-01-11,Premiership,Dundee,Hearts,Home Win,Away Win,False,0.39799999999999996,0.271,0.331,2.512562814070352,3.6900369003690034,3.021148036253776
2026-01-11,Serie B,Mantova,Palermo,Home Win,Draw,False,0.40700000000000003,0.278,0.315,2.457002457002457,3.597122302158273,3.1746031746031744
2026-01-11,FA Cup,Portsmouth,Arsenal,Home Win,Away Win,False,0.479,0.161,0.359,2.0876826722338206,6.211180124223603,2.785515320334262
2026-01-11,Bundesliga,Borussia Mönchengladbach,FC Augsburg,Home Win,Home Win,True,0.488,0.265,0.248,2.0491803278688523,3.773584905660377,4.032258064516129
2026-01-11,FA Cup,Norwich City,Walsall,Home Win,Home Win,True,0.49,0.24600000000000002,0.263,2.0408163265306123,4.0650406504065035,3.8022813688212924
2026-01-11,FA Cup,Hull City,Blackburn Rovers,Home Win,Draw,False,0.39,0.294,0.316,2.564102564102564,3.4013605442176873,3.1645569620253164
2026-01-11,FA Cup,Swansea City,West Bromwich Albion,Home Win,Draw,False,0.45,0.28300000000000003,0.267,2.2222222222222223,3.5335689045936394,3.745318352059925
2026-01-11,FA Cup,Sheffield United,Mansfield Town,Home Win,Away Win,False,0.579,0.243,0.17800000000000002,1.7271157167530227,4.11522633744856,5.617977528089887
2026-01-11,La Liga,Levante,Espanyol,Away Win,Draw,False,0.358,0.245,0.397,2.793296089385475,4.081632653061225,2.5188916876574305
2026-01-11,La Liga 2,Granada,Castellón,Home Win,Draw,False,0.406,0.253,0.34,2.463054187192118,3.952569169960474,2.941176470588235
2026-01-11,La Liga 2,Málaga,Ceuta,Home Win,Home Win,True,0.469,0.292,0.24,2.1321961620469083,3.4246575342465757,4.166666666666667
2026-01-11,Liga Portugal,Nacional,Santa Clara,Home Win,Draw,False,0.461,0.28600000000000003,0.253,2.1691973969631237,3.4965034965034962,3.952569169960474
2026-01-11,Eredivisie,Sparta Rotterdam,Heracles Almelo,Home Win,Home Win,True,0.5760000000000001,0.247,0.177,1.736111111111111,4.048582995951417,5.649717514124294
2026-01-11,Serie B,Calcio Padova,Modena,Home Win,Home Win,True,0.564,0.255,0.18100000000000002,1.773049645390071,3.9215686274509802,5.524861878453038
2026-01-11,Premiership,Aberdeen,Rangers,Home Win,Away Win,False,0.444,0.268,0.289,2.2522522522522523,3.731343283582089,3.4602076124567476
2026-01-11,Bundesliga,FC Bayern München,VfL Wolfsburg,Home Win,Home Win,True,0.7390000000000001,0.13699999999999998,0.124,1.3531799729364005,7.299270072992702,8.064516129032258
2026-01-12,Serie A,Genoa,Cagliari,Home Win,Home Win,True,0.568,0.253,0.179,1.7605633802816902,3.952569169960474,5.58659217877095
2026-01-12,La Liga 2,Huesca,Córdoba,Away Win,Away Win,True,0.345,0.298,0.35700000000000004,2.8985507246376816,3.3557046979865772,2.8011204481792715
2026-01-12,Serie A,Juventus,Cremonese,Home Win,Home Win,True,0.6579999999999999,0.184,0.158,1.5197568389057752,5.434782608695652,6.329113924050633
2026-01-12,FA Cup,Liverpool,Barnsley,Home Win,Home Win,True,0.765,0.102,0.132,1.3071895424836601,9.803921568627452,7.575757575757575
2026-01-12,La Liga,Sevilla,Celta de Vigo,Home Win,Away Win,False,0.37200000000000005,0.262,0.366,2.6881720430107525,3.8167938931297707,2.73224043715847
2026-01-13,Bundesliga,VfB Stuttgart,Eintracht Frankfurt,Home Win,Home Win,True,0.5670000000000001,0.253,0.179,1.763668430335097,3.952569169960474,5.58659217877095
2026-01-13,Bundesliga,FSV Mainz 05,Heidenheim,Home Win,Home Win,True,0.504,0.253,0.243,1.9841269841269842,3.952569169960474,4.11522633744856
2026-01-13,Bundesliga,Borussia Dortmund,Werder Bremen,Home Win,Home Win,True,0.682,0.16399999999999998,0.154,1.4662756598240467,6.097560975609757,6.4935064935064934
2026-01-13,Coppa Italia,Roma,Torino,Home Win,Away Win,False,0.589,0.243,0.168,1.697792869269949,4.11522633744856,5.952380952380952
2026-01-13,Carabao Cup,Newcastle United,Manchester City,Home Win,Away Win,False,0.52,0.22399999999999998,0.256,1.923076923076923,4.464285714285714,3.90625
2026-01-13,Copa Del Rey,Deportivo La Coruña,Atlético Madrid,Home Win,Away Win,False,0.501,0.233,0.267,1.996007984031936,4.291845493562231,3.745318352059925
2026-01-13,Copa Del Rey,Real Sociedad,Osasuna,Home Win,Draw,False,0.569,0.252,0.179,1.7574692442882252,3.9682539682539684,5.58659217877095
2026-01-14,Serie A,Napoli,Parma,Home Win,Draw,False,0.7,0.125,0.17600000000000002,1.4285714285714286,8.0,5.681818181818182
2026-01-14,Bundesliga,VfL Wolfsburg,St. Pauli,Home Win,Home Win,True,0.547,0.24600000000000002,0.207,1.8281535648994514,4.0650406504065035,4.830917874396135
2026-01-14,Bundesliga,FC Köln,FC Bayern München,Away Win,Away Win,True,0.364,0.154,0.48200000000000004,2.7472527472527473,6.4935064935064934,2.0746887966804977
2026-01-14,Bundesliga,RB Leipzig,SC Freiburg,Home Win,Home Win,True,0.595,0.228,0.177,1.680672268907563,4.385964912280701,5.649717514124294
2026-01-14,Bundesliga,TSG Hoffenheim,Borussia Mönchengladbach,Home Win,Home Win,True,0.585,0.24100000000000002,0.174,1.7094017094017095,4.149377593360995,5.74712643678161
2026-01-14,Super League,Servette,Lausanne Sport,Away Win,Away Win,True,0.297,0.292,0.41100000000000003,3.367003367003367,3.4246575342465757,2.4330900243309
2026-01-14,Super League,Sion,Winterthur,Home Win,Home Win,True,0.624,0.237,0.138,1.6025641025641026,4.219409282700422,7.246376811594202
2026-01-14,Serie A,Inter,Lecce,Home Win,Home Win,True,0.6809999999999999,0.18,0.139,1.4684287812041117,5.555555555555555,7.194244604316546
2026-01-14,Premiership,Falkirk,Celtic,Home Win,Away Win,False,0.573,0.239,0.188,1.7452006980802794,4.184100418410042,5.319148936170213
