Strategy,Bets,Total Staked,Net P&L,ROI %,Win Rate %,Avg Stake,Winning Bets
Away Wins Only,28,280.0,71.07167968309045,25.382742743960872,53.57142857142857,10.0,15
Very High Confidence (60%+),20,200.0,9.398971760356904,4.699485880178452,70.0,10.0,14
Away Wins 53%+ Confidence,2,20.0,-1.2030075187969924,-6.015037593984962,50.0,10.0,1
Away Wins 50%+ Confidence,4,40.0,-1.9722382880277625,-4.930595720069406,50.0,10.0,2
High Confidence (55%+),55,550.0,-62.69547412080019,-11.399177112872762,54.54545454545454,10.0,30
Home Wins 55%+ Confidence,55,550.0,-62.69547412080019,-11.399177112872762,54.54545454545454,10.0,30
Proportional Staking,82,954.2999999999997,-74.3,-7.7858115896468645,53.65853658536586,11.637804878048778,44
Flat Stake (Baseline),147,1470.0,-76.88972328407596,-5.230593420685439,48.29931972789115,10.0,71
