date,bets,correct,accuracy,pnl
2026-01-09,7,2,28.57142857142857,-25.06152999122063
2026-01-10,25,11,44.0,-20.99873392120888
2026-01-11,24,9,37.5,-66.32286864906884
2026-01-12,5,4,80.0,23.886302098503975
2026-01-13,7,3,42.857142857142854,-17.859289257138723
2026-01-14,14,11,78.57142857142857,64.04654835963525
2026-01-15,5,2,40.0,-3.3771732471714575
2026-01-16,10,3,30.0,-46.40269624174173
2026-01-17,25,15,60.0,32.139026608351436
2026-01-18,25,11,44.0,-16.93930904301638
