date,correct,predicted,odds,return
2026-01-09,False,Home Win,1.953125,-10.0
2026-01-09,True,Home Win,1.949317738791423,9.49317738791423
2026-01-09,False,Away Win,2.4213075060532687,-10.0
2026-01-09,False,Home Win,1.7857142857142856,-10.0
2026-01-09,False,Home Win,2.375296912114014,-10.0
2026-01-09,True,Home Win,2.544529262086514,15.44529262086514
2026-01-09,False,Home Win,1.8975332068311195,-10.0
2026-01-10,True,Home Win,1.8587360594795541,8.587360594795541
2026-01-10,False,Home Win,2.4752475247524752,-10.0
2026-01-10,False,Home Win,1.996007984031936,-10.0
2026-01-10,True,Home Win,2.7472527472527473,17.472527472527474
2026-01-10,False,Away Win,2.6666666666666665,-10.0
2026-01-10,False,Away Win,2.092050209205021,-10.0
2026-01-10,False,Home Win,1.8281535648994514,-10.0
2026-01-10,False,Home Win,2.34192037470726,-10.0
2026-01-10,False,Away Win,2.7027027027027026,-10.0
2026-01-10,True,Home Win,1.5243902439024393,5.243902439024392
2026-01-10,False,Away Win,2.531645569620253,-10.0
2026-01-10,False,Away Win,2.770083102493075,-10.0
2026-01-10,True,Home Win,1.8761726078799252,8.761726078799253
2026-01-10,True,Away Win,2.3041474654377883,13.041474654377883
2026-01-10,False,Home Win,2.336448598130841,-10.0
2026-01-10,False,Home Win,1.7094017094017095,-10.0
2026-01-10,True,Home Win,1.6611295681063123,6.6112956810631225
2026-01-10,True,Home Win,1.736111111111111,7.361111111111109
2026-01-10,False,Home Win,1.6556291390728477,-10.0
2026-01-10,False,Home Win,2.109704641350211,-10.0
2026-01-10,False,Home Win,2.1929824561403506,-10.0
2026-01-10,True,Home Win,2.1321961620469083,11.321961620469082
2026-01-10,True,Home Win,2.481389578163772,14.81389578163772
2026-01-10,True,Home Win,2.242152466367713,12.421524663677129
2026-01-10,True,Away Win,2.336448598130841,13.364485981308412
2026-01-11,False,Home Win,2.577319587628866,-10.0
2026-01-11,False,Home Win,2.1881838074398248,-10.0
2026-01-11,False,Home Win,1.5698587127158556,-10.0
2026-01-11,True,Home Win,2.358490566037736,13.584905660377359
2026-01-11,True,Home Win,2.044989775051125,10.449897750511248
2026-01-11,False,Home Win,1.721170395869191,-10.0
2026-01-11,True,Away Win,1.8796992481203008,8.796992481203008
2026-01-11,False,Away Win,2.34192037470726,-10.0
2026-01-11,False,Home Win,2.512562814070352,-10.0
2026-01-11,False,Home Win,2.457002457002457,-10.0
2026-01-11,False,Home Win,2.0876826722338206,-10.0
2026-01-11,True,Home Win,2.0491803278688523,10.491803278688522
2026-01-11,True,Home Win,2.0408163265306123,10.408163265306122
2026-01-11,False,Home Win,2.564102564102564,-10.0
2026-01-11,False,Home Win,2.2222222222222223,-10.0
2026-01-11,False,Home Win,1.7271157167530227,-10.0
2026-01-11,False,Away Win,2.5188916876574305,-10.0
2026-01-11,False,Home Win,2.463054187192118,-10.0
2026-01-11,True,Home Win,2.1321961620469083,11.321961620469082
2026-01-11,False,Home Win,2.1691973969631237,-10.0
2026-01-11,True,Home Win,1.736111111111111,7.361111111111109
2026-01-11,True,Home Win,1.773049645390071,7.73049645390071
2026-01-11,False,Home Win,2.2522522522522523,-10.0
2026-01-11,True,Home Win,1.3531799729364005,3.5317997293640047
2026-01-12,True,Home Win,1.7605633802816902,7.605633802816902
2026-01-12,True,Away Win,2.8011204481792715,18.011204481792717
2026-01-12,True,Home Win,1.5197568389057752,5.197568389057752
2026-01-12,True,Home Win,1.3071895424836601,3.0718954248366015
2026-01-12,False,Home Win,2.6881720430107525,-10.0
2026-01-13,True,Home Win,1.763668430335097,7.636684303350969
2026-01-13,True,Home Win,1.9841269841269842,9.841269841269842
2026-01-13,True,Home Win,1.4662756598240467,4.662756598240467
2026-01-13,False,Home Win,1.697792869269949,-10.0
2026-01-13,False,Home Win,1.923076923076923,-10.0
2026-01-13,False,Home Win,1.996007984031936,-10.0
2026-01-13,False,Home Win,1.7574692442882252,-10.0
2026-01-14,False,Home Win,1.4285714285714286,-10.0
2026-01-14,True,Home Win,1.8281535648994514,8.281535648994513
2026-01-14,True,Away Win,2.0746887966804977,10.746887966804977
2026-01-14,True,Home Win,1.680672268907563,6.806722689075631
2026-01-14,True,Home Win,1.7094017094017095,7.0940170940170955
2026-01-14,True,Away Win,2.4330900243309,14.330900243309
2026-01-14,True,Home Win,1.6025641025641026,6.025641025641026
2026-01-14,True,Home Win,1.4684287812041117,4.684287812041116
2026-01-14,False,Home Win,1.7452006980802794,-10.0
2026-01-14,True,Home Win,1.8975332068311195,8.975332068311195
2026-01-14,True,Away Win,2.247191011235955,12.471910112359552
2026-01-14,True,Home Win,1.8018018018018016,8.018018018018015
2026-01-14,True,Home Win,1.6611295681063123,6.6112956810631225
2026-01-14,False,Away Win,1.9646365422396856,-10.0
2026-01-15,True,Away Win,2.444987775061125,14.449877750611249
2026-01-15,False,Home Win,1.8975332068311195,-10.0
2026-01-15,False,Home Win,2.5974025974025974,-10.0
2026-01-15,False,Home Win,1.6556291390728477,-10.0
2026-01-15,True,Away Win,2.2172949002217295,12.172949002217294
2026-01-16,False,Home Win,1.7241379310344829,-10.0
2026-01-16,False,Home Win,2.5839793281653747,-10.0
2026-01-16,True,Home Win,1.8691588785046729,8.69158878504673
2026-01-16,False,Home Win,1.8867924528301885,-10.0
2026-01-16,False,Away Win,2.4330900243309,-10.0
2026-01-16,False,Home Win,1.7513134851138352,-10.0
2026-01-16,False,Home Win,1.8832391713747645,-10.0
2026-01-16,True,Home Win,1.7574692442882252,7.5746924428822515
