threshold_home,threshold_draw,threshold_away,roi,profit,bets,wins,win_rate,total_staked,total_return
0.7,0.39999999999999997,0.5499999999999999,0.18990216631726065,27175.0,1431,1019,0.7120894479385046,143100,170275.0
0.7,0.39999999999999997,0.39999999999999997,0.18977568416330193,42301.0,2229,1384,0.6209062359802602,222900,265201.0
0.7,0.44999999999999996,0.5499999999999999,0.18972535211267605,26941.0,1420,1015,0.7147887323943662,142000,168941.0
0.7,0.49999999999999994,0.5499999999999999,0.18972535211267605,26941.0,1420,1015,0.7147887323943662,142000,168941.0
0.7,0.49999999999999994,0.39999999999999997,0.18966185752930567,42067.0,2218,1380,0.6221821460775473,221800,263867.0
0.7,0.44999999999999996,0.39999999999999997,0.18966185752930567,42067.0,2218,1380,0.6221821460775473,221800,263867.0
0.7,0.39999999999999997,0.35,0.1881772575250836,45012.0,2392,1455,0.6082775919732442,239200,284212.0
0.7,0.49999999999999994,0.35,0.18806383872322555,44778.0,2381,1451,0.6094078118437631,238100,282878.0
0.7,0.44999999999999996,0.35,0.18806383872322555,44778.0,2381,1451,0.6094078118437631,238100,282878.0
0.7,0.5999999999999999,0.39999999999999997,0.18683401175938488,41309.0,2211,1376,0.6223428312980552,221100,262409.0
0.7,0.5499999999999999,0.39999999999999997,0.18683401175938488,41309.0,2211,1376,0.6223428312980552,221100,262409.0
0.7,0.6499999999999999,0.39999999999999997,0.18599095022624434,41104.0,2210,1375,0.6221719457013575,221000,262104.0
0.7,0.7,0.39999999999999997,0.18599095022624434,41104.0,2210,1375,0.6221719457013575,221000,262104.0
0.7,0.5499999999999999,0.35,0.18542544229149116,44020.0,2374,1447,0.6095197978096041,237400,281420.0
0.7,0.5999999999999999,0.35,0.18542544229149116,44020.0,2374,1447,0.6095197978096041,237400,281420.0
0.7,0.5499999999999999,0.5499999999999999,0.18530077848549187,26183.0,1413,1011,0.7154989384288747,141300,167483.0
0.7,0.5999999999999999,0.5499999999999999,0.18530077848549187,26183.0,1413,1011,0.7154989384288747,141300,167483.0
0.7,0.7,0.35,0.18463969658659923,43815.0,2373,1446,0.6093552465233881,237300,281115.0
0.7,0.6499999999999999,0.35,0.18463969658659923,43815.0,2373,1446,0.6093552465233881,237300,281115.0
0.7,0.6499999999999999,0.5499999999999999,0.18398016997167138,25978.0,1412,1010,0.7152974504249292,141200,167178.0
0.7,0.7,0.5499999999999999,0.18398016997167138,25978.0,1412,1010,0.7152974504249292,141200,167178.0
0.7,0.39999999999999997,0.49999999999999994,0.1820121212121212,30032.0,1650,1126,0.6824242424242424,165000,195032.0
0.7,0.44999999999999996,0.49999999999999994,0.18180597925564368,29798.0,1639,1122,0.6845637583892618,163900,193698.0
0.7,0.49999999999999994,0.49999999999999994,0.18180597925564368,29798.0,1639,1122,0.6845637583892618,163900,193698.0
0.6499999999999999,0.39999999999999997,0.39999999999999997,0.1816902457185406,48802.0,2686,1716,0.6388682055100521,268600,317402.0
0.6499999999999999,0.49999999999999994,0.39999999999999997,0.1815626168224299,48568.0,2675,1712,0.64,267500,316068.0
0.6499999999999999,0.44999999999999996,0.39999999999999997,0.1815626168224299,48568.0,2675,1712,0.64,267500,316068.0
0.6499999999999999,0.39999999999999997,0.35,0.18081081081081082,51513.0,2849,1787,0.6272376272376272,284900,336413.0
0.6499999999999999,0.44999999999999996,0.35,0.18068710359408033,51279.0,2838,1783,0.6282593375616632,283800,335079.0
0.6499999999999999,0.49999999999999994,0.35,0.18068710359408033,51279.0,2838,1783,0.6282593375616632,283800,335079.0
0.6499999999999999,0.5499999999999999,0.39999999999999997,0.17919790104947525,47810.0,2668,1708,0.6401799100449775,266800,314610.0
0.6499999999999999,0.5999999999999999,0.39999999999999997,0.17919790104947525,47810.0,2668,1708,0.6401799100449775,266800,314610.0
0.6499999999999999,0.6499999999999999,0.39999999999999997,0.17849643794525685,47605.0,2667,1707,0.6400449943757031,266700,314305.0
0.6499999999999999,0.7,0.39999999999999997,0.17849643794525685,47605.0,2667,1707,0.6400449943757031,266700,314305.0
0.6499999999999999,0.5999999999999999,0.35,0.17845637583892618,50521.0,2831,1779,0.6283998587071706,283100,333621.0
0.6499999999999999,0.5499999999999999,0.35,0.17845637583892618,50521.0,2831,1779,0.6283998587071706,283100,333621.0
0.6499999999999999,0.39999999999999997,0.5499999999999999,0.17836864406779662,33676.0,1888,1351,0.715572033898305,188800,222476.0
0.6499999999999999,0.44999999999999996,0.5499999999999999,0.1781672882258924,33442.0,1877,1347,0.7176345231752796,187700,221142.0
0.6499999999999999,0.49999999999999994,0.5499999999999999,0.1781672882258924,33442.0,1877,1347,0.7176345231752796,187700,221142.0
0.7,0.5499999999999999,0.49999999999999994,0.17794117647058824,29040.0,1632,1118,0.6850490196078431,163200,192240.0
0.7,0.5999999999999999,0.49999999999999994,0.17794117647058824,29040.0,1632,1118,0.6850490196078431,163200,192240.0
0.6499999999999999,0.7,0.35,0.17779505300353357,50316.0,2830,1778,0.6282685512367491,283000,333316.0
0.6499999999999999,0.6499999999999999,0.35,0.17779505300353357,50316.0,2830,1778,0.6282685512367491,283000,333316.0
0.7,0.7,0.49999999999999994,0.17679337829552422,28835.0,1631,1117,0.6848559166155732,163100,191935.0
0.7,0.6499999999999999,0.49999999999999994,0.17679337829552422,28835.0,1631,1117,0.6848559166155732,163100,191935.0
0.6499999999999999,0.5999999999999999,0.5499999999999999,0.17478074866310161,32684.0,1870,1343,0.7181818181818181,187000,219684.0
