model,log_loss,brier_score,accuracy,calibration_error
xgboost,0.9587988257408142,0.5672393697324426,0.5597552195824333,0.029979454085699273
elo,1.0030247602341795,0.5974086694380853,0.5223182145428366,0.012628497321669688
dixon_coles,1.075391450810229,0.6465494679383453,0.44096472282217425,0.026139069432733794
stacking,1.2351050544422415,0.7373433144103712,0.3992080633549316,0.12775515997979167
weighted_avg,1.3192568338126007,0.739817808591862,0.3992080633549316,0.11963862625563071
market,,,0.22318214542836573,
