home_thresh,draw_thresh,away_thresh,bets,bet_freq,bets_per_day,win_rate,roi,profit,home_bets,draw_bets,away_bets
0.65,0.5,0.6,5,2.5,0.2477777777777778,100.0,30.2,151.0,4,0,1
0.65,0.5,0.65,5,2.5,0.2477777777777778,100.0,30.2,151.0,4,0,1
0.65,0.5,0.7,4,2.0,0.19822222222222222,100.0,31.5,126.0,4,0,0
0.7,0.35,0.55,11,5.5,0.5451111111111111,36.36363636363637,-37.90909090909091,-417.0,0,6,5
0.7,0.35,0.6,7,3.5000000000000004,0.34688888888888897,28.57142857142857,-41.42857142857143,-290.0,0,6,1
0.7,0.35,0.65,7,3.5000000000000004,0.34688888888888897,28.57142857142857,-41.42857142857143,-290.0,0,6,1
0.7,0.35,0.7,6,3.0,0.29733333333333334,16.666666666666664,-52.5,-315.0,0,6,0
0.7,0.4,0.55,5,2.5,0.2477777777777778,60.0,-20.4,-102.0,0,0,5
0.7,0.4,0.6,1,0.5,0.049555555555555554,100.0,25.0,25.0,0,0,1
0.7,0.4,0.65,1,0.5,0.049555555555555554,100.0,25.0,25.0,0,0,1
0.7,0.45,0.55,5,2.5,0.2477777777777778,60.0,-20.4,-102.0,0,0,5
0.7,0.45,0.6,1,0.5,0.049555555555555554,100.0,25.0,25.0,0,0,1
0.7,0.45,0.65,1,0.5,0.049555555555555554,100.0,25.0,25.0,0,0,1
0.7,0.5,0.55,5,2.5,0.2477777777777778,60.0,-20.4,-102.0,0,0,5
0.7,0.5,0.6,1,0.5,0.049555555555555554,100.0,25.0,25.0,0,0,1
0.7,0.5,0.65,1,0.5,0.049555555555555554,100.0,25.0,25.0,0,0,1
