sidelined_id,fixture_id,participant_id,player_id,type_id,sideline_id
345659,10332761,69,,,2469.0
345656,10332761,69,,,37227.0
345653,10332761,52,,,10542.0
345661,10332762,9,,,7483.0
345658,10332762,9,,,35765.0
345646,10332762,19,,,2586.0
345652,10332762,19,,,21625.0
345648,10332762,19,,,9794.0
345655,10332762,9,,,774.0
345650,10332762,19,,,57292.0
345649,10332763,11,,,12165.0
345663,10332763,51,,,199.0
345645,10332763,11,,,32235.0
345654,10332763,11,,,59543.0
345660,10332763,51,,,2191.0
345647,10332763,11,,,32635.0
345651,10332763,11,,,24690.0
345657,10332763,51,,,4557.0
345664,10332763,51,,,13222.0
345662,10332763,51,,,3235.0
345643,10332764,18,,,379.0
345644,10332764,18,,,49538.0
345641,10332764,18,,,26177.0
345632,10332764,251,,,38902.0
345637,10332765,1,,,8210.0
345616,10332765,8,,,568.0
345629,10332765,1,,,5839.0
345619,10332765,8,,,78094.0
345623,10332765,8,,,2375.0
345633,10332765,1,,,75991.0
345595,10332766,14,,,438.0
345625,10332766,14,,,17813.0
345628,10332766,14,,,70075.0
345622,10332766,14,,,2340.0
345611,10332766,14,,,2614.0
345615,10332766,14,,,81349.0
345631,10332766,42,,,60735.0
345606,10332766,14,,,2495.0
345640,10332766,42,,,86861.0
345636,10332766,42,,,70822.0
345639,10332767,6,,,24302.0
345624,10332767,6,,,2201.0
345617,10332767,20,,,17452.0
345620,10332767,6,,,81712.0
345630,10332767,6,,,47935.0
345635,10332767,6,,,60202.0
345626,10332767,6,,,11497.0
345599,10332769,25,,,68587.0
345586,10332769,25,,,13835.0
345605,10332769,78,,,18946.0
345609,10332769,78,,,36514.0
345593,10332769,25,,,32741.0
345608,10332770,13,,,37580.0
345581,10332770,29,,,57972.0
345590,10332770,13,,,77555.0
345585,10332770,29,,,21766.0
345601,10332770,13,,,25591.0
345577,10332770,29,,,14188.0
345604,10332770,13,,,8237.0
345613,10332770,13,,,35979.0
345587,10332771,14,,,438.0
345594,10332771,14,,,2473.0
345578,10332771,78,,,18946.0
345597,10332771,14,,,81349.0
345603,10332771,14,,,2340.0
345612,10332771,14,,,17813.0
345618,10332771,14,,,70075.0
345582,10332771,78,,,36514.0
345602,10332772,25,,,68587.0
345591,10332772,25,,,13835.0
345596,10332772,25,,,32741.0
345592,10332773,69,,,2469.0
345607,10332773,20,,,17452.0
345600,10332773,20,,,28125.0
345634,10332774,19,,,57292.0
345638,10332774,19,,,815.0
345610,10332774,18,,,379.0
345642,10332774,19,,,21625.0
345614,10332774,18,,,49538.0
345627,10332774,19,,,9794.0
345621,10332774,19,,,82005.0
345589,10332775,8,,,78094.0
345574,10332775,51,,,2565.0
345579,10332775,51,,,3235.0
345598,10332775,8,,,2375.0
345583,10332775,51,,,199.0
345561,10332776,13,,,87330.0
345572,10332776,13,,,25591.0
345553,10332776,13,,,276.0
345584,10332776,65,,,23607.0
345588,10332776,65,,,34747.0
345576,10332776,13,,,8237.0
345567,10332776,13,,,77555.0
345580,10332776,13,,,35979.0
345551,10332777,42,,,60735.0
345563,10332777,29,,,57972.0
345566,10332777,29,,,21766.0
345557,10332777,42,,,70822.0
345575,10332778,251,,,33091.0
345571,10332778,251,,,38902.0
345548,10332778,9,,,60546.0
345564,10332778,251,,,20148.0
345552,10332778,9,,,35765.0
345568,10332778,251,,,17175.0
345558,10332778,9,,,7483.0
345554,10332779,6,,,60202.0
345559,10332779,6,,,24302.0
345573,10332779,11,,,59543.0
345549,10332779,6,,,47935.0
345570,10332779,11,,,24690.0
345565,10332779,11,,,12165.0
345556,10332780,1,,,75991.0
345569,10332780,52,,,10542.0
345562,10332780,1,,,8210.0
345524,10332781,13,,,276.0
345541,10332781,13,,,8237.0
345536,10332781,13,,,72271.0
345530,10332781,13,,,77555.0
345544,10332781,13,,,37582.0
345546,10332781,13,,,35979.0
345545,10332782,19,,,815.0
345550,10332782,1,,,75991.0
345555,10332782,1,,,8210.0
345560,10332782,1,,,60786.0
345522,10332782,19,,,82005.0
345540,10332782,19,,,57292.0
345535,10332782,19,,,9794.0
345547,10332782,19,,,21625.0
345510,10332783,11,,,24690.0
345503,10332783,11,,,12165.0
345515,10332783,11,,,59543.0
345523,10332784,251,,,11627.0
345542,10332784,69,,,2469.0
345529,10332784,251,,,38902.0
345534,10332784,69,,,71630.0
345499,10332785,8,,,78094.0
345514,10332785,78,,,18946.0
345509,10332785,78,,,27812.0
345516,10332785,78,,,36514.0
345502,10332785,8,,,2375.0
345506,10332786,14,,,2340.0
345513,10332786,14,,,17813.0
345532,10332786,6,,,47935.0
345543,10332786,6,,,24302.0
345539,10332786,6,,,60202.0
345528,10332786,6,,,2203.0
345517,10332786,14,,,70075.0
345508,10332787,20,,,2406.0
345500,10332787,20,,,37224.0
345526,10332787,18,,,379.0
345512,10332787,20,,,3166.0
345519,10332787,20,,,17452.0
345537,10332787,18,,,49538.0
345521,10332788,42,,,70822.0
345485,10332789,51,,,2565.0
345496,10332789,51,,,199.0
345465,10332789,25,,,68587.0
345476,10332789,51,,,66172.0
345454,10332789,25,,,2047.0
345460,10332789,25,,,32741.0
345492,10332789,51,,,3235.0
345511,10332790,9,,,7483.0
345470,10332790,29,,,57972.0
345488,10332790,9,,,60035.0
345495,10332790,9,,,60546.0
345504,10332790,9,,,35765.0
345480,10332790,29,,,21766.0
345481,10332791,11,,,33655.0
345493,10332791,11,,,24690.0
345501,10332791,11,,,59543.0
345464,10332791,78,,,18946.0
345473,10332791,78,,,36514.0
345487,10332791,11,,,9646.0
345467,10332792,27,,,25380.0
345477,10332792,14,,,17813.0
345497,10332793,19,,,23292.0
345490,10332793,19,,,82005.0
345533,10332793,19,,,21625.0
345475,10332793,69,,,31304.0
345483,10332793,69,,,2469.0
345507,10332793,19,,,9794.0
345520,10332793,19,,,57292.0
345527,10332793,19,,,815.0
345466,10332793,69,,,37082.0
345459,10332793,69,,,22514.0
345479,10332794,18,,,49538.0
345486,10332794,52,,,2883.0
345471,10332794,18,,,379.0
345518,10332795,51,,,2467.0
345494,10332795,51,,,66172.0
345525,10332795,51,,,2565.0
345538,10332795,51,,,199.0
345531,10332795,51,,,3235.0
345444,10332796,13,,,56712.0
345463,10332796,13,,,3050.0
345439,10332796,13,,,276.0
345453,10332796,13,,,25597.0
345489,10332796,251,,,11627.0
345505,10332796,251,,,7455.0
345498,10332796,251,,,3143.0
345457,10332796,13,,,8237.0
