iter	MultiClass
0	1.094791296
1	1.090912441
2	1.087208465
3	1.083935202
4	1.08066856
5	1.077634342
6	1.074900409
7	1.072041041
8	1.069414714
9	1.067145843
10	1.06494298
11	1.062637732
12	1.060427479
13	1.058502313
14	1.056488199
15	1.054504434
16	1.05269325
17	1.050735368
18	1.048975904
19	1.047322413
20	1.045820509
21	1.044529206
22	1.042972348
23	1.041509906
24	1.040205911
25	1.038943436
26	1.037801278
27	1.03662176
28	1.035605527
29	1.034752505
30	1.033652794
31	1.032689428
32	1.031636487
33	1.030819393
34	1.029943769
35	1.029000113
36	1.028309421
37	1.027463074
38	1.026668107
39	1.02586086
40	1.025131742
41	1.024421042
42	1.023730639
43	1.023032195
44	1.022392402
45	1.021763947
46	1.021133869
47	1.020467399
48	1.019833316
49	1.019283837
50	1.018707274
51	1.018154942
52	1.01753555
53	1.017079403
54	1.016539376
55	1.016024821
56	1.015500541
57	1.015035156
58	1.014562756
59	1.01403757
60	1.013652132
61	1.013271591
62	1.01289592
63	1.012334836
64	1.011794482
65	1.011323838
66	1.010881346
67	1.010428642
68	1.01003718
69	1.009571517
70	1.009214337
71	1.008863454
72	1.008499577
73	1.008025658
74	1.007688218
75	1.007344978
76	1.006912627
77	1.006584606
78	1.006255876
79	1.00591144
80	1.005579673
81	1.005163812
82	1.004817397
83	1.004478143
84	1.004165596
85	1.003783821
86	1.003306983
87	1.002977886
88	1.002750357
89	1.00260284
90	1.002402756
91	1.002072605
92	1.001675823
93	1.001436165
94	1.001257678
95	1.000977114
96	1.000577559
97	1.000343565
98	1.000014528
99	0.9997563771
100	0.9994937293
101	0.9993379129
102	0.9989996775
103	0.9987191431
104	0.998281011
105	0.9979853577
106	0.9976768814
107	0.9973862907
108	0.9971653761
109	0.9969972568
110	0.9967478973
111	0.9964718995
112	0.996115408
113	0.99573642
114	0.9955130513
115	0.9952718552
116	0.9950344
117	0.9948437429
118	0.9946087795
119	0.9944587169
120	0.9941729068
121	0.993937561
122	0.993664725
123	0.9935281217
124	0.9932630938
125	0.9930553757
126	0.9928142495
127	0.9926217749
128	0.9923802475
129	0.9920857098
130	0.9918265333
131	0.9916217678
132	0.9913444711
133	0.9911650422
134	0.9909394747
135	0.9906524307
136	0.9903938411
137	0.9902437388
138	0.9901204588
139	0.9898972299
140	0.9896504033
141	0.9894887805
142	0.9891552619
143	0.9889921404
144	0.9887425859
145	0.9885612488
146	0.988341538
147	0.9881393406
148	0.9879721658
149	0.9877656771
150	0.9875314603
151	0.9872971047
152	0.9871974905
153	0.9869852001
154	0.9867405967
155	0.9865455106
156	0.9863157962
157	0.9861009108
158	0.9857765478
159	0.985553978
160	0.9852894548
161	0.9851145858
162	0.9848629398
163	0.9846498121
164	0.9844141175
165	0.9842306048
166	0.9839799252
167	0.9838296237
168	0.9836823335
169	0.9834562031
170	0.983231975
171	0.98304795
172	0.9829160932
173	0.9827599309
174	0.9825131768
175	0.9822120275
176	0.9819632444
177	0.9816951626
178	0.9815125982
179	0.9814056834
180	0.9811626763
181	0.9809159117
182	0.9807040017
183	0.9805647621
184	0.9803913272
185	0.9801300908
186	0.9799229405
187	0.9798089213
188	0.9795143272
189	0.979363721
190	0.9791447604
191	0.9789033357
192	0.9786721211
193	0.9784169011
194	0.9782061406
195	0.9780035203
196	0.9778855839
197	0.9776719661
198	0.977553255
199	0.9773388634
200	0.9771593777
201	0.9769164759
202	0.9766760191
203	0.9764098063
204	0.9761081739
205	0.9758461729
206	0.9756694382
207	0.9754236347
208	0.975185185
209	0.9750127146
210	0.9748354316
211	0.9746071661
212	0.9744506544
213	0.974274993
214	0.9740310952
215	0.9738322628
216	0.9737275576
217	0.9733792924
218	0.9732067619
219	0.9730138889
220	0.9728357806
221	0.9726398416
222	0.9725116961
223	0.9723755206
224	0.972247267
225	0.9720291268
226	0.9718079335
227	0.9716309684
228	0.9714753981
229	0.9713117349
230	0.9712199601
231	0.9710166889
232	0.9707700472
233	0.9706529601
234	0.9705326405
235	0.9703002169
236	0.9700785579
237	0.9699089404
238	0.9697868414
239	0.9697103448
240	0.9695628093
241	0.9694569045
242	0.9693452488
243	0.9691695026
244	0.9689868163
245	0.968756339
246	0.9685477648
247	0.9684035371
248	0.9681600363
249	0.9680618249
250	0.9679713712
251	0.9677292958
252	0.9675428915
253	0.967387176
254	0.9672710675
255	0.9670972772
256	0.9668810115
257	0.9666620609
258	0.9665103175
259	0.9664405176
260	0.9662649823
261	0.9661143642
262	0.965926903
263	0.9657827919
