season_id,team_id,position,points,played
21689,47,18,56,26
21689,2,19,53,28
21689,56,20,53,8
21689,110,21,51,13
21689,12,22,50,10
21689,251,23,45,19
21689,138,24,27,37
23672,71,1,100,18
23672,27,2,100,0
23672,21,3,90,6
23672,3,4,76,46
23672,117,5,69,23
23672,122,6,68,23
23672,2,7,66,19
23672,64,8,66,27
23672,10,9,64,46
23672,7,10,64,31
23672,30,11,61,24
23672,56,12,58,32
23672,33,13,57,4
23672,25,14,57,23
23672,47,15,56,14
23672,5,16,54,23
23672,297,17,53,18
23672,26,18,51,33
23672,24,19,50,18
23672,99,20,50,37
23672,22,21,49,49
23672,115,22,49,7
23672,110,23,46,46
23672,69,24,44,23
25648,117,1,55,20
25648,7,2,49,20
25648,116,3,47,4
25648,64,4,46,-2
25648,22,5,44,7
25648,99,6,43,5
25648,26,7,41,6
25648,25,8,41,13
25648,122,9,40,3
25648,283,10,40,3
25648,47,11,39,22
25648,24,12,38,21
25648,42,13,37,3
25648,12,14,35,26
25648,65,15,33,13
25648,30,16,33,8
25648,21,17,32,5
25648,4,18,32,14
25648,10,19,31,14
25648,2,20,28,13
25648,5,21,28,6
25648,33,22,27,19
25648,297,23,23,2
25648,56,24,-7,7
16326,3468,1,87,45
16326,83,2,82,86
16326,7980,3,70,51
16326,676,4,70,13
16326,3477,5,60,9
16326,594,6,56,56
16326,103,7,56,52
16326,106,8,54,12
16326,214,9,53,46
16326,459,10,52,46
16326,13258,11,51,41
16326,3457,12,49,17
16326,361,13,42,32
16326,60,14,42,39
16326,485,15,41,38
16326,2975,16,39,34
16326,36,17,37,37
16326,844,18,36,30
16326,645,19,33,40
16326,528,20,25,27
17480,7980,1,86,42
17480,3468,2,84,39
17480,83,3,79,19
17480,676,4,77,53
17480,594,5,62,59
17480,485,6,61,50
17480,3477,7,58,60
17480,36,8,53,55
17480,13258,9,46,46
17480,103,10,46,47
17480,459,11,44,37
17480,6827,12,44,24
17480,214,13,43,8
17480,3457,14,41,46
17480,106,15,38,28
17480,2975,16,38,57
17480,1099,17,36,34
17480,274,18,34,34
17480,361,19,31,34
17480,60,20,30,29
18462,3468,1,86,80
18462,83,2,73,68
18462,7980,3,71,65
18462,676,4,70,53
18462,485,5,65,62
18462,594,6,62,40
18462,3477,7,59,19
18462,13258,8,55,43
18462,214,9,48,48
18462,459,10,47,37
18462,36,11,46,43
18462,377,12,42,39
18462,1099,13,42,40
18462,528,14,42,40
18462,106,15,39,33
18462,6827,16,39,38
18462,645,17,39,38
18462,103,18,38,44
18462,3457,19,35,8
18462,2975,20,31,31
19799,83,1,88,0
19799,3468,2,78,0
19799,7980,3,77,0
19799,594,4,71,0
19799,3477,5,64,0
19799,485,6,60,0
19799,459,7,53,0
19799,13258,8,51,0
19799,645,9,50,0
19799,231,10,49,0
19799,377,11,49,0
19799,676,12,49,0
19799,36,13,43,0
19799,6827,14,42,0
19799,214,15,42,0
19799,106,16,42,0
19799,618,17,41,0
19799,361,18,40,0
19799,528,19,37,0
19799,1099,20,25,0
21694,3468,1,95,1
21694,83,2,85,79
21694,231,3,81,25
21694,7980,4,76,10
21694,13258,5,68,19
21694,594,6,60,19
21694,485,7,57,21
21694,3477,8,53,11
21694,214,9,49,19
21694,2975,10,46,23
21694,459,11,45,56
21694,106,12,43,19
21694,36,13,41,6
21694,676,14,41,54
21694,645,15,40,40
21694,2921,16,40,4
21694,377,17,38,22
21694,6827,18,33,55
21694,618,19,21,13
21694,103,20,21,16
23621,83,1,88,19
23621,3468,2,84,45
23621,7980,3,76,38
23621,13258,4,70,4
23621,3477,5,70,51
23621,485,6,60,10
23621,36,7,55,38
23621,459,8,52,33
23621,377,9,52,26
23621,645,10,48,10
23621,214,11,46,13
23621,594,12,46,5
23621,106,13,42,42
23621,2975,14,42,38
23621,528,15,42,8
23621,676,16,41,10
23621,231,17,41,38
23621,844,18,40,27
23621,2921,19,32,5
23621,361,20,16,26
25659,83,1,49,0
25659,3468,2,48,43
25659,7980,3,41,4
25659,3477,4,41,18
25659,528,5,34,23
25659,485,6,32,8
25659,36,7,29,1
25659,13258,8,24,16
25659,231,9,24,4
25659,1099,10,23,9
25659,459,11,22,10
25659,377,12,22,6
25659,594,13,21,8
25659,645,14,21,21
25659,106,15,21,10
25659,676,16,20,9
25659,214,17,20,4
25659,2975,18,19,10
25659,3457,19,14,3
